	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single
FBgn0000116	-237.380070	-260.273647	-187.435356	-296.047953	423.321229	549.161532	8.654265
FBgn0001226	-719.222493	-424.027885	-611.277528	-588.738818	944.681475	724.192917	674.392332
FBgn0020248	-20.904653	-22.228236	-18.793531	-20.374873	33.062989	25.357741	23.880564
FBgn0036821	-173.097288	235.235439	336.071531	301.770563	-232.021152	-247.729762	-220.229330
FBgn0035932	-13.439742	-7.312345	-22.328665	-9.567009	12.998339	25.179155	14.470267
FBgn0016715	40.756008	83.451487	54.478314	106.058368	-97.769694	-92.090983	-94.883499
FBgn0035969	-8.105773	-1.635196	-9.161333	-8.264756	12.358866	7.152224	7.655969
FBgn0029167	1840.366966	1718.632118	2189.758152	1626.343214	-2541.865000	-2369.839150	-2463.396300
FBgn0035968	-98.554084	-69.731199	-103.442964	-105.202537	157.272089	84.996709	134.661985
FBgn0087007	-78.187886	-29.707653	-33.521026	-29.826027	58.139749	64.219581	48.883263
FBgn0036560	-9.692747	-11.261407	-12.637203	-8.339236	19.319099	0.565230	22.046265
FBgn0262870	1.070188	21.756361	15.236919	13.155729	-21.577413	-14.993674	-14.648110
FBgn0035147	6246.505412	10066.859267	6501.232644	530.739242	-6253.649800	-6636.672008	-10455.014756
FBgn0264475	585.723937	326.160684	218.611490	311.401455	-472.370593	-500.032852	-469.494120
FBgn0259935	-26.452415	-19.001526	-10.396788	-15.879368	18.709876	26.734611	26.285610
FBgn0267635	-36.564534	-68.672880	-78.564687	-59.840811	19.253918	49.060044	175.328949
FBgn0262733	-246.842365	-234.244750	-193.675458	-179.641819	207.826546	255.062875	391.514970
FBgn0015371	65.394762	41.520694	166.339693	138.200498	-150.786440	-134.183267	-126.485941
FBgn0035076	-18.655968	-0.077573	-17.989296	-11.449889	23.431121	15.825244	8.916361
FBgn0283437	-3658.723179	-2114.808138	-2245.939205	-2312.407722	2784.782647	4668.930654	2878.164943
FBgn0050359	-29.170571	-8.533360	-13.892728	-17.451025	32.584697	32.694755	3.768232
FBgn0033446	30.863422	-2.911508	34.807900	40.771235	-33.244599	-35.661570	-34.624879
FBgn0033775	-22.901004	-24.959910	-30.678811	-27.197853	31.354234	31.464292	42.919052
FBgn0034736	92.692265	130.240212	199.248312	145.898507	-189.056711	-183.459634	-195.562951
