	GSM461182_untreat_single	GSM461178_untreat_paired	GSM461177_untreat_paired	GSM461176_untreat_single	GSM461181_treat_paired	GSM461180_treat_paired	GSM461179_treat_single
FBgn0039485	-0.752376	-0.685730	-0.994439	-0.714128	0.728206	1.280091	1.138376
FBgn0024491	-1.027144	-0.687153	-0.890589	-0.509430	0.887481	0.836735	1.390101
FBgn0051337	0.128044	1.378820	0.550554	0.885005	-0.713365	-1.076593	-1.152465
FBgn0052185	-0.734659	-1.168538	-0.748981	-0.488376	1.117074	1.001179	1.022300
FBgn0004396	-1.010293	-1.054030	-0.620709	-0.198575	0.658899	0.595244	1.629464
FBgn0002945	-0.511491	0.323293	1.573580	1.029314	-0.894456	-1.027142	-0.493099
FBgn0023479	0.262925	0.686902	1.017033	1.116855	-1.092932	-0.970829	-1.019953
FBgn0052407	1.071114	0.633259	0.507817	0.931808	-1.070864	-1.158759	-0.914375
FBgn0035539	-0.282576	-0.983349	-1.076784	-0.357820	1.793235	0.592201	0.315093
FBgn0063667	-0.804159	-0.570411	-0.955539	-0.789394	1.428866	0.947737	0.742900
FBgn0035267	-0.193678	-1.449214	-0.434974	-0.818874	0.666429	1.303894	0.926415
FBgn0035523	-0.953605	-0.547676	-1.014830	-0.242733	0.046491	1.459371	1.252982
FBgn0035189	-0.884522	-0.814635	-0.676466	-0.736677	0.990575	1.461860	0.659864
FBgn0035710	-1.129103	-0.699195	-0.798913	-0.523704	0.981708	1.024412	1.144795
FBgn0035727	-0.783490	-0.857227	-0.764920	-0.722081	1.115475	1.377574	0.634670
FBgn0036373	-0.447704	0.771549	1.465929	0.788072	-0.653553	-0.683147	-1.241147
FBgn0263232	-0.432098	-0.959367	-0.766693	-0.677695	0.340932	0.691912	1.803009
FBgn0263042	0.150812	1.123271	0.636753	1.066005	-0.917851	-1.354711	-0.704278
FBgn0259224	-1.284362	-0.659998	-0.539853	-0.545359	0.819969	0.778889	1.430714
FBgn0037046	-0.643605	-0.790360	-0.691989	-0.524049	-0.162713	1.070598	1.742117
FBgn0035344	0.593493	0.717968	1.100818	0.739774	-1.087083	-0.860118	-1.204853
FBgn0037153	-0.886468	-0.883518	-0.698395	-0.649762	0.735394	0.922976	1.459772
FBgn0036801	1.207307	0.674429	0.856646	0.324220	-1.120609	-0.739525	-1.202469
FBgn0265706	0.168228	-0.236470	1.526547	1.073181	-0.641207	-1.288647	-0.601632
FBgn0036985	0.048691	0.543195	0.711697	1.565101	-0.974293	-0.909071	-0.985321
FBgn0029002	-1.297321	-0.547245	-0.739493	-0.510989	1.102549	0.929605	1.062893
FBgn0264702	-1.426410	-0.601704	-0.138077	-0.786998	0.801285	1.137071	1.014833
